address,parking,type,num_schools,cost,suburb,beds,baths,cost/(beds+baths)
"2103/65 Dudley Street, West Melbourne VIC 3003",0,Apartment / Unit / Flat,9,700.0,West Melbourne,2,2,175.0
"1907/408 Spencer Street, West Melbourne VIC 3003",0,Apartment / Unit / Flat,9,690.0,West Melbourne,2,1,230.0
"1803/65 Dudley Street, West Melbourne VIC 3003",0,Apartment / Unit / Flat,9,680.0,West Melbourne,2,2,170.0
"1406/12 Queens Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,12,725.0,Melbourne,2,2,181.25
"5601/450 Elizabeth Street, Melbourne VIC 3004",0,Apartment / Unit / Flat,11,720.0,Melbourne,2,1,240.0
"92/33 Jeffcott Street, West Melbourne VIC 3003",1,Apartment / Unit / Flat,9,680.0,West Melbourne,2,2,170.0
"G02/74 Queens Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,11,715.0,Melbourne,2,1,238.33333333333334
"1/593 Spencer Street, West Melbourne VIC 3003",2,Apartment / Unit / Flat,10,680.0,West Melbourne,2,1,226.66666666666666
"207/601 Saint Kilda Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,11,720.0,Melbourne,2,2,180.0
"1707/408 Spencer Street, West Melbourne VIC 3003",0,Apartment / Unit / Flat,9,670.0,West Melbourne,2,1,223.33333333333334
"206/601 Little Collins Street, Melbourne VIC 3004",0,Apartment / Unit / Flat,9,700.0,Melbourne,2,2,175.0
"18/58 Queens Road, Melbourne VIC 3004",0,Apartment / Unit / Flat,12,700.0,Melbourne,3,1,175.0
"114/121 Rosslyn Street, West Melbourne VIC 3003",1,Apartment / Unit / Flat,9,660.0,West Melbourne,2,2,165.0
"2213/65 Dudley Street, West Melbourne VIC 3003",1,Apartment / Unit / Flat,9,660.0,West Melbourne,2,1,220.0
"710/555 St Kilda Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,12,700.0,Melbourne,2,1,233.33333333333334
"2503/250 Elizabeth St, Melbourne VIC 3004",0,Apartment / Unit / Flat,9,700.0,Melbourne,2,1,233.33333333333334
"210/140 Dudley Street, West Melbourne VIC 3003",1,Apartment / Unit / Flat,9,650.0,West Melbourne,2,1,216.66666666666666
"912/65 Dudley Street, West Melbourne VIC 3003",0,Apartment / Unit / Flat,9,650.0,West Melbourne,2,1,216.66666666666666
"511/12 Queens Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,12,700.0,Melbourne,2,2,175.0
"506/25 Wominjeka Walk, West Melbourne VIC 3003",1,Apartment / Unit / Flat,9,650.0,West Melbourne,2,1,216.66666666666666
